Installed Packages
libnftnl.x86_64                               1.1.5-4.el8                             @ubi-8-baseos   
libnghttp2.x86_64                             1.33.0-3.el8_2.1                        @System         
libnl3.x86_64                                 3.5.0-1.el8                             @System         
libnsl2.x86_64                                1.2.0-2.20180605git4a062cf.el8          @System         
libpcap.x86_64                                14:1.9.1-5.el8                          @ubi-8-baseos   
libpipeline.x86_64                            1.5.0-2.el8                             @ubi-8-baseos   
libpkgconf.x86_64                             1.4.2-1.el8                             @ubi-8-baseos   
libpsl.x86_64                                 0.20.2-6.el8                            @System         
libpwquality.x86_64                           1.4.4-3.el8                             @System         
libquadmath.x86_64                            8.5.0-4.el8_5                           @ubi-8-baseos   
libquadmath-devel.x86_64                      8.5.0-4.el8_5                           @ubi-8-appstream
librepo.x86_64                                1.14.0-2.el8                            @System         
libreport-filesystem.x86_64                   2.9.5-15.el8                            @System         
librhsm.x86_64                                0.0.3-4.el8                             @System         
libseccomp.x86_64                             2.5.1-1.el8                             @System         
libselinux.x86_64                             2.9-5.el8                               @System         
libselinux-devel.x86_64                       2.9-5.el8                               @ubi-8-baseos   
libsemanage.x86_64                            2.9-6.el8                               @System         
libsepol.x86_64                               2.9-3.el8                               @System         
libsepol-devel.x86_64                         2.9-3.el8                               @ubi-8-baseos   
libsigsegv.x86_64                             2.11-5.el8                              @System         
libsmartcols.x86_64                           2.32.1-28.el8                           @System         
libsolv.x86_64                                0.7.19-1.el8                            @System         
libssh.x86_64                                 0.9.4-3.el8                             @System         
libssh-config.noarch                          0.9.4-3.el8                             @System         
libstdc++.x86_64                              8.5.0-4.el8_5                           @ubi-8-baseos   
libstdc++-devel.x86_64                        8.5.0-4.el8_5                           @ubi-8-appstream
libtasn1.x86_64                               4.13-3.el8                              @System         
libtirpc.x86_64                               1.1.4-5.el8                             @System         
libtool-ltdl.x86_64                           2.4.6-25.el8                            @ubi-8-baseos   
libunistring.x86_64                           0.9.9-3.el8                             @System         
libusbx.x86_64                                1.0.23-4.el8                            @System         
libuser.x86_64                                0.62-23.el8                             @System         
libutempter.x86_64                            1.1.6-14.el8                            @System         
libuuid.x86_64                                2.32.1-28.el8                           @System         
libuv.x86_64                                  1:1.41.1-1.el8_4                        @ubi-8-appstream
libverto.x86_64                               0.3.0-5.el8                             @System         
libverto-devel.x86_64                         0.3.0-5.el8                             @ubi-8-baseos   
libxcrypt.x86_64                              4.1.1-6.el8                             @System         
libxcrypt-devel.x86_64                        4.1.1-6.el8                             @ubi-8-baseos   
libxkbcommon.x86_64                           0.9.1-1.el8                             @ubi-8-appstream
libxml2.x86_64                                2.9.7-9.el8_4.2                         @System         
libyaml.x86_64                                0.1.7-5.el8                             @System         
libzstd.x86_64                                1.4.4-1.el8                             @System         
llvm.x86_64                                   12.0.1-2.module+el8.5.0+12488+254d2a07  @ubi-8-appstream
llvm-libs.x86_64                              12.0.1-2.module+el8.5.0+12488+254d2a07  @ubi-8-appstream
lshw.x86_64                                   B.02.19.2-6.el8                         @ubi-8-baseos   
lsof.x86_64                                   4.93.2-1.el8                            @ubi-8-baseos   
lua.x86_64                                    5.3.4-12.el8                            @ubi-8-appstream
lua-libs.x86_64                               5.3.4-12.el8                            @System         
lz4-libs.x86_64                               1.8.3-3.el8_4                           @System         
make.x86_64                                   1:4.2.1-10.el8                          @ubi-8-baseos   
man-db.x86_64                                 2.7.6.1-18.el8                          @ubi-8-baseos   
mpfr.x86_64                                   3.1.6-1.el8                             @System         
nano.x86_64                                   2.9.8-1.el8                             @ubi-8-baseos   
ncurses.x86_64                                6.1-9.20180224.el8                      @ubi-8-baseos   
ncurses-base.noarch                           6.1-9.20180224.el8                      @System         
ncurses-libs.x86_64                           6.1-9.20180224.el8                      @System         
nettle.x86_64                                 3.4.1-7.el8                             @System         
npth.x86_64                                   1.5-4.el8                               @System         
nspr.x86_64                                   4.32.0-1.el8_4                          @ubi-8-appstream
nss.x86_64                                    3.67.0-7.el8_5                          @ubi-8-appstream
nss-softokn.x86_64                            3.67.0-7.el8_5                          @ubi-8-appstream
nss-softokn-freebl.x86_64                     3.67.0-7.el8_5                          @ubi-8-appstream
nss-sysinit.x86_64                            3.67.0-7.el8_5                          @ubi-8-appstream
nss-util.x86_64                               3.67.0-7.el8_5                          @ubi-8-appstream
openblas.x86_64                               0.3.12-1.el8                            @ubi-8-appstream
openldap.x86_64                               2.4.46-18.el8                           @System         
openssh.x86_64                                8.0p1-10.el8                            @ubi-8-baseos   
openssh-clients.x86_64                        8.0p1-10.el8                            @ubi-8-baseos   
openssl.x86_64                                1:1.1.1k-5.el8_5                        @ubi-8-baseos   
openssl-devel.x86_64                          1:1.1.1k-5.el8_5                        @ubi-8-baseos   
openssl-libs.x86_64                           1:1.1.1k-5.el8_5                        @ubi-8-baseos   
openssl-pkcs11.x86_64                         0.4.10-2.el8                            @ubi-8-baseos   
p11-kit.x86_64                                0.23.22-1.el8                           @System         
p11-kit-trust.x86_64                          0.23.22-1.el8                           @System         
pam.x86_64                                    1.3.1-15.el8                            @System         
passwd.x86_64                                 0.80-3.el8                              @System         
pciutils.x86_64                               3.7.0-1.el8                             @ubi-8-baseos   
pciutils-libs.x86_64                          3.7.0-1.el8                             @ubi-8-baseos   
pcre.x86_64                                   8.42-6.el8                              @System         
pcre2.x86_64                                  10.32-2.el8                             @System         
pcre2-devel.x86_64                            10.32-2.el8                             @ubi-8-baseos   
pcre2-utf16.x86_64                            10.32-2.el8                             @ubi-8-baseos   
pcre2-utf32.x86_64                            10.32-2.el8                             @ubi-8-baseos   
perl-Carp.noarch                              1.42-396.el8                            @ubi-8-baseos   
perl-Data-Dumper.x86_64                       2.167-399.el8                           @ubi-8-baseos   
perl-Digest.noarch                            1.17-395.el8                            @ubi-8-appstream
perl-Digest-MD5.x86_64                        2.55-396.el8                            @ubi-8-appstream
perl-Encode.x86_64                            4:2.97-3.el8                            @ubi-8-baseos   
perl-Errno.x86_64                             1.28-420.el8                            @ubi-8-baseos   
perl-Error.noarch                             1:0.17025-2.el8                         @ubi-8-appstream
perl-Exporter.noarch                          5.72-396.el8                            @ubi-8-baseos   
perl-File-Path.noarch                         2.15-2.el8                              @ubi-8-baseos   
perl-File-Temp.noarch                         0.230.600-1.el8                         @ubi-8-baseos   
perl-Getopt-Long.noarch                       1:2.50-4.el8                            @ubi-8-baseos   
perl-Git.noarch                               2.27.0-1.el8                            @ubi-8-appstream
perl-HTTP-Tiny.noarch                         0.074-1.el8                             @ubi-8-baseos   
perl-IO.x86_64                                1.38-420.el8                            @ubi-8-baseos   
perl-IO-Socket-IP.noarch                      0.39-5.el8                              @ubi-8-appstream
perl-IO-Socket-SSL.noarch                     2.066-4.module+el8.3.0+6446+594cad75    @ubi-8-appstream
perl-MIME-Base64.x86_64                       3.15-396.el8                            @ubi-8-baseos   
perl-Mozilla-CA.noarch                        20160104-7.module+el8.3.0+6498+9eecfe51 @ubi-8-appstream
perl-Net-SSLeay.x86_64                        1.88-1.module+el8.3.0+6446+594cad75     @ubi-8-appstream
